id,raceId,constructorId,grid,positionOrder,points,statusId
233,29,5,6,6,3.0,1
234,29,7,13,7,2.0,1
235,29,3,9,8,1.0,1
236,29,2,8,9,0.0,1
237,29,5,10,10,0.0,1
238,29,4,15,11,0.0,1
239,29,9,14,12,0.0,11
240,29,11,16,13,0.0,11
241,29,10,18,14,0.0,11
242,29,3,11,15,0.0,11
243,29,11,19,16,0.0,11
244,29,9,17,17,0.0,11
248,30,6,2,1,10.0,1
249,30,2,5,2,8.0,1
250,30,1,1,3,6.0,1
251,30,4,6,4,5.0,1
252,30,5,10,5,4.0,1
253,30,2,8,6,3.0,1
254,30,5,9,7,2.0,1
255,30,9,7,8,1.0,1
256,30,7,13,9,0.0,1
257,30,1,3,10,0.0,6
258,30,9,14,11,0.0,11
259,30,3,15,12,0.0,11
260,30,10,18,13,0.0,11
261,30,3,19,14,0.0,11
262,30,11,17,15,0.0,11
263,30,7,11,16,0.0,11
264,30,10,20,17,0.0,11
265,30,6,4,18,0.0,20
268,31,5,1,1,10.0,1
269,31,1,2,2,8.0,1
270,31,2,11,3,6.0,1
271,31,4,8,4,5.0,1
272,31,2,10,5,4.0,1
273,31,6,6,6,3.0,1
274,31,1,15,7,2.0,1
275,31,9,3,8,1.0,1
276,31,6,14,9,0.0,1
277,31,4,17,10,0.0,1
278,31,7,9,11,0.0,1
279,31,3,18,12,0.0,1
280,31,7,7,13,0.0,1
281,31,3,5,14,0.0,1
282,31,11,19,15,0.0,1
283,31,9,13,16,0.0,11
284,31,11,16,17,0.0,11
285,31,5,4,18,0.0,11
286,31,10,20,19,0.0,12
288,32,4,15,1,10.0,1
289,32,3,8,2,8.0,1
290,32,1,2,3,6.0,1
291,32,7,7,4,5.0,1
292,32,5,6,5,4.0,1
293,32,2,9,6,3.0,1
294,32,9,14,7,2.0,1
295,32,3,10,8,1.0,1
296,32,11,12,9,0.0,1
297,32,1,5,10,0.0,1
298,32,2,4,11,0.0,1
299,32,5,17,12,0.0,1
300,32,6,1,13,0.0,1
301,32,10,20,14,0.0,1
302,32,6,3,15,0.0,3
308,33,4,4,1,10.0,1
309,33,2,6,2,8.0,1
310,33,6,2,3,6.0,1
311,33,4,12,4,5.0,1
312,33,7,7,5,4.0,1
313,33,5,9,6,3.0,1
314,33,6,5,7,2.0,1
315,33,9,13,8,1.0,1
316,33,2,16,9,0.0,1
317,33,5,10,10,0.0,1
318,33,3,15,11,0.0,1
319,33,1,1,12,0.0,1
320,33,11,17,13,0.0,11
321,33,11,18,14,0.0,11
322,33,3,14,15,0.0,11
328,34,1,1,1,10.0,1
329,34,6,3,2,8.0,1
330,34,6,2,3,6.0,1
331,34,4,4,4,5.0,1
332,34,2,9,5,4.0,1
333,34,2,11,6,3.0,1
334,34,7,12,7,2.0,1
335,34,4,10,8,1.0,1
336,34,5,6,9,0.0,1
337,34,9,15,10,0.0,1
338,34,11,13,11,0.0,1
339,34,3,17,12,0.0,1
340,34,5,8,13,0.0,1
341,34,9,16,14,0.0,1
342,34,3,14,15,0.0,11
343,34,11,18,16,0.0,11
344,34,10,20,17,0.0,11
348,35,6,1,1,10.0,1
349,35,4,6,2,8.0,1
350,35,6,3,3,6.0,1
351,35,5,7,4,5.0,1
352,35,1,4,5,4.0,1
353,35,7,10,6,3.0,1
354,35,1,5,7,2.0,1
355,35,7,2,8,1.0,1
356,35,9,12,9,0.0,1
357,35,2,8,10,0.0,11
358,35,2,13,11,0.0,11
359,35,3,18,12,0.0,11
360,35,11,17,13,0.0,11
361,35,5,9,14,0.0,11
362,35,11,15,15,0.0,11
363,35,10,20,16,0.0,12
364,35,3,16,17,0.0,12
365,35,10,19,18,0.0,12
368,36,6,1,1,10.0,1
369,36,1,2,2,8.0,1
370,36,1,4,3,6.0,1
371,36,2,3,4,5.0,1
372,36,4,6,5,4.0,1
373,36,6,22,6,3.0,1
374,36,3,12,7,2.0,11
375,36,7,9,8,1.0,11
376,36,7,8,9,0.0,11
377,36,4,13,10,0.0,11
378,36,11,16,11,0.0,11
379,36,8,10,12,0.0,11
380,36,9,7,13,0.0,11
381,36,5,19,14,0.0,11
382,36,11,14,15,0.0,11
383,36,8,11,16,0.0,12
384,36,12,20,17,0.0,12
390,37,1,2,1,10.0,1
391,37,1,4,2,8.0,1
392,37,6,3,3,6.0,1
393,37,2,5,4,5.0,1
394,37,6,1,5,4.0,1
395,37,4,12,6,3.0,1
396,37,7,8,7,2.0,1
397,37,4,11,8,1.0,1
398,37,3,19,9,0.0,1
399,37,9,10,10,0.0,1
400,37,11,22,11,0.0,11
401,37,11,15,12,0.0,11
402,37,8,14,13,0.0,11
403,37,5,17,14,0.0,11
404,37,7,9,15,0.0,11
405,37,8,18,16,0.0,11
406,37,5,16,17,0.0,11
